N	cond
0	1.0
1	20.9137893196858
2	73.01713808809733
3	150.12330872881063
4	254.4811283220709
5	389.8678174070245
6	557.9923776349032
7	759.154272129946
8	993.8186519820351
9	1262.868795891148
10	1567.1435932088677
11	1907.1926540288064
12	2283.3485296019994
13	2695.8815772735975
14	3145.079627253976
15	3631.243539056283
16	4154.654263603286
17	4715.552851522596
18	5314.141230991047
19	5950.593485460043
20	6625.0668073254865
21	7337.707658495287
22	8088.653769846168
23	8878.034253603033
24	9705.969525054663
25	10572.571652993043
26	11477.945074879572
27	12422.18742254474
28	13405.390277991539
29	14427.639800402236
30	15489.017238760496
31	16589.59936397536
32	17729.458846461857
33	18908.664592849273
34	20127.282047688324
35	21385.373463499167
36	22682.99814245928
37	24020.212653135753
38	25397.07102573175
39	26813.624928637288
40	28269.923828701227
41	29766.01513701516
42	31301.944341864306
43	32877.75513015108
44	34493.4894985505
45	36149.1878554107
46	37844.88911444805
47	39580.63078094993
48	41356.44903137659
49	43172.378786856054
50	45028.45378120263
51	46924.7066240825
52	48861.16885947985
53	50837.871020265186
54	52854.842678855326
55	54912.112494549896
56	57009.70825757624
57	59147.65693049146
58	61325.98468679418
59	63464.070746450365
