N	m0	m1	s1
1	1.0	1.0	1.0
2	6.854101979566497	16.789230041351505	2.471990874663235
3	16.39373166860679	94.09446666698261	5.1877163751852216
4	29.284052341001704	331.9954327177433	9.222449186201846
5	45.45516432773726	895.5048770266841	15.260874668484412
6	64.8855457598906	2026.6166282720253	23.01282921693249
7	87.56683626344258	4052.952030025341	33.0272205213077
8	113.49524609613381	7394.622521208719	45.04592982043596
9	142.66885705535543	12569.795461299806	59.48871238756033
10	175.08661429010954	20199.30363625443	76.150068435023
11	210.74789894795023	31010.532567159742	95.34936908157904
12	249.6523286091893	45840.74970325883	116.93044657518675
13	291.79965666268396	65639.99322946588	141.13680357432742
14	337.1897183043805	91473.60695133485	167.85273080516097
15	385.8224000165856	124524.48614470246	197.2650000179924
16	437.69762154769677	166095.08403195883	229.28930318994543
17	492.81532486743805	217609.21756257222	264.0700735036291
18	551.1754671736855	280613.7030823845	301.5467577504374
19	612.7780163386614	356779.84643985657	341.8321073795418
20	677.6229478681013	447904.80741303967	384.88331166584703
21	745.7102428241739	555912.8548654183	430.78929357402006
22	817.0398863792512	682856.5261049556	479.5204059815828
23	891.6118667910055	830917.7018687926	531.1475343453099
24	969.4261746627163	1002408.6064722374	585.6507608213657
25	1050.4828024021408	1199772.7412498838	643.0872186256718
26	1134.7817438217576	1425585.7582341242	703.4441618525866
27	1222.322993839396	1682556.2799531128	766.7681585906812
28	1313.1065482489605	1973526.671249571	833.0517363465937
29	1407.1324035447722	2301473.7660073237	902.3332824756623
30	1504.4005567870445	2669509.5551010054	974.6091896163902
31	1604.9110054954288	3080881.836566682	1049.911459614478
32	1708.6637475660343	3538974.833053131	1128.2393052699467
33	1815.658781205008	4047309.7783816005	1209.619703505658
34	1925.8961048753838	4609545.475624761	1294.0539112539072
35	2039.3757172545838	5229478.828245963	1381.5649186536925
36	2156.097617198919	5911045.349334024	1472.155449934191
37	2276.061803716664	6658319.646176078	1565.8453059388607
38	2399.2682759442864	7475515.881822186	1662.638249152826
39	2525.717033124297	8366988.228302348	1762.5515078803528
40	2655.4080745932592	9337231.280617494	1865.5895637116148
41	2788.3413997681164	10390880.480170729	1971.7675526249254
42	2924.517008132518	11532712.498118853	2081.090438021653
43	3063.9348992312307	12767645.619991107	2193.5716399951475
44	3206.5950726581414	14100740.10647063	2309.2164275911755
45	3352.4975280516096	15537198.556247706	2428.0368020785904
46	3501.642265089488	17082366.22909915	2550.0382077366376
47	3654.0292834826746	18741731.37869437	2675.2314630015107
48	3809.658582972708	20520925.58254757	2803.6220912664994
49	3968.5301633265235	22425724.029324464	2935.2199168720435
50	4130.644024333201	24462045.832775876	3070.030471942602
51	4296.000165805697	26635954.29835994	3208.062738666942
52	4464.5985875713095	28953657.2380724	3349.322206886447
53	4636.439289477632	31421507.154961616	3493.8171397404285
54	4811.522271382073	34046001.63124058	3641.552948341848
55	4989.847533158551	36833783.502968766	3792.5372771898687
56	5171.415074687735	39791641.03311904	3946.77543314489
57	5356.2248958659475	42926508.405310445	4104.2745245137985
58	5544.276996591333	46245465.58365084	4265.03973658573
59	5735.571376776899	49755738.922462806	4429.077709613805
60	5930.108036340284	53464701.11296904	4596.393496127655
61	6127.88697520537	57379871.524549395	4766.993325015736
62	6328.90819330862	61508916.34978406	4940.882109445653
63	6533.171690579475	65859648.82895262	5118.065714383688
64	6740.677466961176	70440029.60728633	5298.548910456576
65	6951.425522399872	75258166.52444689	5482.337238658725
66	7165.415856849386	80322315.25041327	5669.435326401716
67	7382.648470258177	85640879.31654762	5859.848424591864
68	7603.123362588624	91222409.96776552	6053.5810185511555
69	7826.84053379882	97075607.1912243	6250.638098014387
70	8053.799983848609	103209318.6229772	6451.024008648683
71	8284.00171270818	109632540.95273837	6654.743503813706
72	8517.445720348722	116354419.304554	6861.80079291106
73	8754.13200673234	123384247.5746143	7072.200414291285
74	8994.060571840218	130731469.13806942	7285.946445116962
75	9237.231415641165	138405676.24360147	7503.0432272898215
76	9483.644538118147	146416609.71746626	7723.494710121263
77	9733.29993924001	154774161.41869888	7947.305055303428
78	9986.19761898587	163488371.5270359	8174.478088892792
79	10242.337577332664	172569430.02947682	8405.017806632008
80	10501.719814274078	182027677.31651026	8638.927916039655
81	10764.344329778927	191873604.0362376	8876.21225946783
82	11030.21112383853	202117850.20571768	9116.874430663434
