N	cond
1	1.0
2	17.59511516761439
3	102.73428367039529
4	380.76307196747155
5	1094.4301100335565
6	2684.7485207228365
7	5922.183916301658
8	12067.0914312277
9	22773.919864038355
10	38727.98389560108
11	56901.24042174545
12	72308.03975004329
13	83896.31705978305
14	93545.13508053753
15	102857.70450716627
16	112619.53770473311
17	123156.47411412447
18	134599.1569718147
19	147005.55639330824
20	160415.41753929766
21	174881.68667157978
22	190506.57105869093
23	207521.5680208074
24	226534.97523911085
25	249421.87485876528
26	281332.5669924951
27	326107.7983066974
28	378422.23292444815
29	432285.9992931787
30	483870.9204414423
31	530974.6260085608
32	572846.9431646959
33	609855.7302999547
34	643000.3111686731
35	673488.1088382376
36	702482.1243866752
37	731005.8224107157
38	759949.1431775002
39	790127.8835539635
40	822368.8447038725
41	857602.8365821103
42	896932.0390705029
43	941582.8009496011
44	992591.8670485837
45	1050194.2666974775
46	1113334.944631423
47	1179894.156301798
48	1247491.171640393
49	1314189.99677641
50	1378789.4133358796
51	1440804.654473259
52	1500318.0015112823
53	1557805.139104182
54	1613984.0665405942
55	1669700.5153914988
56	1725846.944316163
57	1783303.981470729
58	1842890.380668293
59	1905309.1045516431
60	1971083.5805401986
61	2040489.934827847
62	2113504.9797882866
63	2189797.074959589
64	2268778.112739948
65	2349710.7775361575
66	2431841.198226514
67	2514519.521209618
68	2597281.856976999
69	2679885.490333905
70	2762303.746862458
71	2844693.2807740015
72	2927346.469291536
73	3010638.5051475796
74	3094975.302494393
75	3180745.8235833934
76	3268281.2370108427
77	3357823.145427985
78	3449503.3047748357
79	3543337.0547189536
80	3639231.5249502906
81	3737007.5579842567
82	3836431.7862794003
83	3937253.353797262
84	4039239.1395322597
85	4142202.2049068925
86	4246020.114212378
87	4350642.042506631
88	4456085.542976153
89	4562425.139378933
90	4669775.534552965
91	4778272.29327811
92	4888052.609921513
93	4999238.334576902
94	5111922.914215816
95	5226163.304969627
96	5341977.311903015
97	5459346.1048031
98	5578221.089720333
99	5698533.775364385
100	5820207.024121586
101	5943166.022564183
102	6067347.5632491885
103	6192706.603968855
104	6319219.623892495
105	6446884.769832469
106	6575719.220038729
107	6705754.495930693
108	6837030.598420297
109	6969589.853251404
110	7103471.299500486
111	7238706.212084713
112	7375315.2025246555
113	7513307.043283581
114	7652679.143377187
115	7793419.407222487
116	7935509.06819972
117	8078925.987398911
118	8223647.9503253875
119	8369655.542398119
120	8516934.256867593
121	8665475.710819049
122	8815277.895397265
123	8966344.585948197
124	9118684.095456695
125	9272307.616510756
126	9427227.425344119
127	9583455.19374525
128	9741000.610199038
129	9899870.439343784
130	10060068.089487797
131	10221593.671434833
132	10384444.443379076
133	10548615.61095821
134	10714101.211471684
135	10880895.093691936
136	11048991.752349172
137	11218386.9223787
138	11389078.047129562
139	11561064.32466491
140	11734346.619515121
141	11908927.131217675
142	12084808.943370244
143	12261995.538552672
144	12440490.305944106
145	12620296.140763631
146	12801415.18578529
147	12983848.647692466
148	13167596.826996248
149	13352659.227299236
150	13539034.731548995
151	13726721.869115604
152	13915719.065813327
153	14106024.914615428
154	14297638.30020603
155	14490558.535696715
156	14684785.451587217
157	14880319.318023957
158	15077160.751257874
159	15275310.679480113
160	15474770.125441056
161	15675540.071349215
162	15877621.455321755
163	16081014.949577164
164	16285721.023361892
165	16491739.91609577
166	16699071.590657631
167	16907715.871361587
168	17117672.480992068
169	17328941.082610156
170	17541521.400367785
171	17755413.23209171
172	17970616.460703894
173	18187131.08395166
174	18404957.286810894
175	18624095.30077106
176	18844545.426932298
177	19066308.019053258
178	19289383.470634833
179	19513772.065266665
180	19739474.080321927
181	19966489.74730755
182	20194819.205360025
183	20424462.507314086
184	20655419.763521895
185	20887690.93417279
186	21121276.013209734
187	21356174.996949185
188	21592387.97975059
189	21829914.938446682
190	22068755.98600193
191	22308911.191134527
192	22550380.726444796
193	22793164.715670582
194	23037263.41565644
195	23282676.91082905
196	23529405.390113536
197	23777448.94215703
198	24026807.752243493
199	24277481.914371654
200	24529471.507483672
201	24782776.696702346
202	25037397.457686286
203	25293333.900101725
204	25550586.08785878
205	25809154.11118647
206	26069038.03804081
207	26330237.982371897
208	26592753.97164551
209	26856586.14256298
210	27121734.698980097
211	27388199.57047179
212	27655980.963295393
213	27925078.969862826
214	28195493.692585032
215	28467225.29277905
216	28740273.751432873
217	29014639.23867983
218	29290321.757815152
219	29567321.448627155
220	29845638.42881147
221	30125272.6838998
222	30406224.38767392
223	30688493.51528915
224	30972080.235853568
225	31256984.611118484
226	31543206.70023731
227	31830746.613643203
228	32119604.42396867
229	32409780.249207176
230	32701274.106453747
231	32994086.202761065
232	33288216.49983739
233	33583665.08325242
234	33880432.008404605
235	34178517.53987779
236	34477921.52891204
237	34778644.22780203
238	35080685.52014748
239	35384045.64489419
240	35688724.59099977
241	35994722.48279653
242	36302039.380739994
243	36610675.30417474
244	36920630.44639231
245	37231904.72218843
246	37544498.322222516
247	37858411.24566036
248	38173643.678780995
249	38490195.67648763
