N	cond
1	1.0
2	21.72011775508495
3	137.8297817111201
4	514.1574382738806
5	1425.5350324589085
6	3265.8308736372346
7	6539.880512742959
8	11834.345004263676
9	19767.235091519964
10	30922.148267194305
11	45780.788401817634
12	64671.66534191785
13	87749.59312871614
14	115009.81769724647
15	146328.12891780317
16	181511.2573596563
17	220342.8887977865
18	262616.9011017151
19	308156.1969422321
20	356819.7966711299
21	408502.2813212968
22	463129.2602400005
23	520651.4320656689
24	581038.724089033
25	644275.2043834849
26	710354.9807187177
27	779279.0511794217
28	851052.9677271823
29	925685.1482521418
30	1003185.6844257306
31	1083565.517805612
32	1166835.8839376064
33	1253007.9479381244
34	1342092.5756658197
35	1434100.1987697473
36	1529040.7446226713
37	1626923.609165125
38	1727757.6584601111
39	1831551.2474857827
40	1938312.2495640127
41	2048048.090531517
42	2160765.7849793746
43	2276471.971162511
44	2395172.94462039
45	2516874.6879674615
46	2641582.898079634
47	2769303.0091872993
48	2900040.2131971903
49	3033799.476601185
50	3170585.5544943362
51	3310403.0024092807
52	3453256.1864866028
53	3599149.2913825964
54	3748086.3271580166
55	3900071.1358546396
56	4055107.3962335307
57	4213198.629366307
58	4374348.203381538
59	4538559.337646932
60	4705835.10794455
61	4876178.451402022
62	5049592.171571569
63	5226078.943418575
64	5405641.3182339175
65	5588281.729647645
66	5774002.49990856
67	5962805.844511896
68	6154693.877590909
69	6349668.618395524
70	6547731.997523404
71	6748885.861302115
72	6953131.975580579
73	7160472.035212343
74	7370907.665464007
75	7584440.4268066585
76	7801071.821351437
77	8020803.296219866
78	8243636.247316239
79	8469572.020241097
80	8698611.920258647
81	8930757.210398763
82	9166009.113072637
83	9404368.816503182
84	9645837.47843268
85	9890416.22171053
86	10138106.143451001
87	10388908.309975853
88	10642823.763925543
89	10899853.526212117
90	11159998.59018742
91	11423259.931805886
92	11689638.504151328
93	11959135.241765719
94	12231751.060073745
95	12507486.856199332
96	12786343.510950685
97	13068321.888833357
98	13353422.838250482
99	13641647.189372277
100	13932995.762808299
101	14227469.359014533
102	14525068.770100217
103	14825794.769291522
104	15129648.118239889
105	15436629.569856547
106	15746739.856369685
107	16059979.705786025
108	16376349.82718207
109	16695850.927996961
110	17018483.688251887
111	17344248.792542096
112	17673146.910362855
113	18005178.688692167
114	18340344.78226678
115	18678645.82921531
116	19020082.449391183
117	19364655.2635098
118	19712364.880461972
119	20063211.89752592
120	20417196.90386526
121	20774320.480013315
122	21134583.19634235
123	21497985.623363048
124	21864528.31548208
125	22234211.809822615
126	22607036.66135791
127	22983003.3958627
128	23362112.541800156
129	23744364.62083003
130	24129760.1271751
131	24518299.58705362
132	24909983.49070202
133	25304812.323632028
134	25702786.566346332
135	26103906.72143709
136	26508173.239900503
137	26915586.592452336
138	27326147.25008852
139	27739855.66282406
140	28156712.272052623
141	28576717.52492757
142	28999871.869390957
143	29426175.721292138
144	29855629.522437625
145	30288233.714846976
146	30723988.67743341
147	31162894.842520338
148	31604952.622195523
149	32050162.415938597
150	32498524.643061545
151	32950039.6577539
152	33404707.88042215
153	33862529.69243503
154	34323505.471802615
155	34787635.602013454
156	35254920.45134825
157	35725360.3985289
158	36198955.79724545
159	36675707.008793555
160	37155614.410583414
161	37638678.310990945
162	38124899.14581259
163	38614277.219534315
164	39106812.825732596
165	39602506.336535774
166	40101358.12376623
167	40603368.50454039
168	41108537.78579752
169	41616866.3161732
170	42128354.37852645
171	42643002.367390215
172	43160810.51014366
173	43681779.198817976
174	44205908.70047778
175	44733199.34179799
176	45263651.40141325
177	45797265.25298902
178	46334041.183473125
179	46873979.36697478
180	47417080.19853156
181	47963343.93335282
182	48512770.972197965
183	49065361.41829213
184	49621115.653533764
185	50180033.953336574
186	50742116.664044134
187	51307363.90624043
188	51875776.05988928
189	52447353.43148679
190	53022096.16597353
191	53600004.54636699
192	54181078.99323142
193	54765319.60086547
194	55352726.72283706
195	55943300.51771142
196	56537041.3198471
197	57133949.422957845
198	57734024.94085755
199	58337268.2276594
