N	error	time	memory	ndofs
1	0.12327753341013946	0.19928602688014507	2614.66015625	7954
2	0.0101989270690873	0.24775883182883263	2614.66015625	11931
3	0.004130370388570009	0.4838398266583681	2614.66015625	15908
4	0.0017283469751047296	0.8073652610182762	2614.66015625	19885
5	0.00023126628500051732	1.2401434052735567	2614.66015625	23862
6	1.263394028807054e-05	1.7964950799942017	2614.66796875	27839
7	2.019908651754619e-05	2.4693352933973074	2653.30078125	31816
8	5.16720148681698e-06	3.3261248096823692	2663.56640625	35793
9	1.9633290152563739e-07	4.462725356221199	2699.1875	39770
10	1.2976173692989624e-07	5.858389798551798	2713.79296875	43747
11	7.963581978410738e-08	7.715448629111052	2879.2734375	47724
12	1.3406245916656622e-07	9.690576631575823	3240.22265625	51701
13	1.5823815855087561e-07	11.849744506180286	3441.50390625	55678
14	1.5809771513982456e-07	14.184093795716763	3679.8359375	59655
15	1.5790495086252106e-07	17.26699685305357	4067.84765625	63632
16	1.5729511210096145e-07	19.773076543584466	4436.203125	67609
17	1.5690168195168407e-07	23.261444685980678	4538.85546875	71586
18	1.567678621350549e-07	26.866849038749933	4750.5	75563
19	1.567606806879756e-07	30.291753748431802	5159.56640625	79540
20	1.569813766302194e-07	33.6513398271054	5676.94140625	83517
21	1.577546699017586e-07	37.89867450483143	6286.23828125	87494
